First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,
Jeff,Bedard,Little Popeye,"5' 6""",145 lbs.,--,Orthodox,13,3,0,,jeff-bedard
Eric,Bedard,Lucky Strikes,"6' 2""",239 lbs.,--,,6,7,0,,eric-bedard
Johnny,Bedford,Brutal,"5' 10""",135 lbs.,"71.0""",Orthodox,21,13,1,,johnny-bedford
Rolando,Bedoya,The Machine,--,170 lbs.,--,,13,1,0,,rolando-bedoya
Chase,Beebe,,"5' 7""",135 lbs.,"67.0""",Orthodox,24,13,1,,chase-beebe
Lyle,Beerbohm,Fancy Pants,"5' 10""",155 lbs.,--,Southpaw,24,3,0,,lyle-beerbohm
Allan,Begosso,Mini,"5' 5""",135 lbs.,"66.0""",Orthodox,7,2,1,,allan-begosso
Mirsad,Bektic,,"5' 8""",145 lbs.,"70.0""",Orthodox,13,4,0,,mirsad-bektic
Diana,Belbita,The Warrior Princess,"5' 7""",115 lbs.,"68.0""",Orthodox,14,7,0,,diana-belbita
Alan,Belcher,The Talent,"6' 2""",185 lbs.,"75.0""",Orthodox,18,8,0,,alan-belcher
Vitor,Belfort,The Phenom,"6' 0""",185 lbs.,"74.0""",Southpaw,26,14,0,,vitor-belfort
Rodolfo,Bellato,Trator,"6' 3""",205 lbs.,"75.0""",Orthodox,8,2,0,,rodolfo-bellato
Danilo,Belluardo,Caterpillar,"6' 0""",155 lbs.,"74.0""",Southpaw,12,5,0,,danilo-belluardo
Joey,Beltran,The Mexicutioner,"6' 1""",185 lbs.,"75.0""",Orthodox,17,14,0,,joey-beltran
Marco,Beltran,Psycho,"5' 8""",125 lbs.,"69.0""",Orthodox,8,6,0,,marco-beltran
Joseph,Benavidez,,"5' 4""",125 lbs.,"65.0""",Southpaw,28,8,0,,joseph-benavidez
Mike,Bencic,Batman,"6' 0""",215 lbs.,--,Orthodox,1,2,0,,mike-bencic
Dave,Beneteau,Dangerous,"6' 2""",250 lbs.,--,Orthodox,6,5,1,,dave-beneteau
Karla,Benitez,,"5' 3""",113 lbs.,--,,14,11,1,,karla-benitez
Gabriel,Benitez,Moggly,"5' 8""",155 lbs.,"71.0""",Southpaw,23,11,0,,gabriel-benitez
Charles,Bennett,Krazy Horse,"5' 8""",155 lbs.,--,Orthodox,30,33,2,,charles-bennett
Josh,Bennett,,"6' 4""",259 lbs.,--,Orthodox,11,14,0,,josh-bennett
DeAnna,Bennett,The Argentine Assassin,"5' 4""",125 lbs.,"68.0""",Orthodox,8,3,1,,deanna-bennett
Lance,Benoist,,"5' 11""",170 lbs.,"72.0""",Southpaw,7,2,0,,lance-benoist
Joe,Benoit,,"5' 9""",170 lbs.,--,Orthodox,11,4,0,,joe-benoit
Ryan,Benoit,Baby Face,"5' 5""",125 lbs.,"68.0""",Orthodox,10,8,0,,ryan-benoit
Pat,Benson,,"5' 9""",155 lbs.,--,,3,5,3,,pat-benson
Len,Bentley,,"5' 9""",155 lbs.,--,,10,6,0,,len-bentley
Steve,Berger,The Red Nosed Pitbull,"5' 11""",170 lbs.,--,Orthodox,21,23,2,,steve-berger
Kenneth,Bergh,,"6' 2""",205 lbs.,"74.0""",Orthodox,8,0,0,,kenneth-bergh
Bret,Bergmark,The Angry Hick,"5' 9""",170 lbs.,--,,6,1,1,,bret-bergmark
Keith,Berish,Sha Bang Bang,"6' 0""",205 lbs.,--,Orthodox,5,1,0,,keith-berish
Dennis,Bermudez,The Menace,"5' 6""",155 lbs.,"66.0""",Orthodox,17,9,0,,dennis-bermudez
Manny,Bermudez,The Bermudez Triangle,"5' 10""",145 lbs.,"71.0""",Orthodox,14,2,0,,manny-bermudez
Talita,Bernardo,,"5' 4""",135 lbs.,"68.0""",Orthodox,6,4,0,,talita-bernardo
Dave,Berry,,--,--,--,,0,1,0,,dave-berry
Keith,Berry,,"6' 1""",185 lbs.,--,,15,14,1,,keith-berry
Dieusel,Berto,,"5' 9""",200 lbs.,--,,0,3,0,,dieusel-berto
Edson,Berto,Little Tiger,"5' 6""",155 lbs.,--,Orthodox,17,12,1,,edson-berto
Allen,Berube,Monstah Lobstah,"5' 8""",155 lbs.,--,Orthodox,4,3,0,,allen-berube
Anton,Berzin,The Body Snatcher,"6' 2""",205 lbs.,--,Orthodox,5,1,0,,anton-berzin
Scott,Bessac,,"6' 4""",245 lbs.,--,,4,6,0,,scott-bessac
Matt,Bessette,The Mangler,"5' 10""",145 lbs.,"70.0""",Orthodox,22,9,0,,matt-bessette
Khadzhi,Bestaev,Best,"6' 6""",185 lbs.,"76.0""",,10,4,0,,khadzhi-bestaev
Fernando,Bettega,,--,170 lbs.,--,,7,5,0,,fernando-bettega
Arjan,Bhullar,,"6' 1""",245 lbs.,"75.0""",Orthodox,9,1,0,,arjan-bhullar
KB,Bhullar,The Bengal,"6' 4""",185 lbs.,"78.0""",Switch,8,2,0,,kb-bhullar
Bibulatov,Magomed,Chaborz,"5' 5""",125 lbs.,"65.0""",Orthodox,14,2,0,,bibulatov-magomed
David,Bielkheden,,"5' 10""",155 lbs.,"71.0""",Orthodox,24,12,0,,david-bielkheden
Blake,Bilder,El Animal,"5' 8""",145 lbs.,"68.0""",Switch,8,0,1,,blake-bilder
Jonas,Bilharinho,,"5' 11""",145 lbs.,"75.0""",Switch,9,1,1,,jonas-bilharinho
Jeremiah,Billington,,"5' 9""",205 lbs.,--,Orthodox,11,2,0,,jeremiah-billington
Scott,Bills,,"5' 10""",170 lbs.,--,,7,9,1,,scott-bills
Anthony,Birchak,El Toro,"5' 8""",135 lbs.,"69.0""",Orthodox,16,8,0,,anthony-birchak
Chris,Birchler,The Big Buck,"6' 3""",205 lbs.,--,Switch,7,4,0,,chris-birchler
Michael,Bisping,The Count,"6' 1""",185 lbs.,"75.0""",Orthodox,30,9,0,,michael-bisping
Amaury,Bitetti,,"5' 9""",185 lbs.,--,Orthodox,5,2,0,,amaury-bitetti
Caio,Bittencourt,Leao,"6' 0""",185 lbs.,"75.0""",Orthodox,14,7,0,,caio-bittencourt
Simon,Biyong,,--,205 lbs.,--,,7,1,0,,simon-biyong
Jan,Blachowicz,,"6' 2""",205 lbs.,"78.0""",Orthodox,29,9,1,,jan-blachowicz
Jason,Black,The Black Legion,"5' 8""",155 lbs.,--,Orthodox,23,4,1,,jason-black
Brad,Blackburn,Bad Brad,"5' 10""",170 lbs.,"73.0""",Orthodox,18,13,1,,brad-blackburn
Jason,Blackford,,--,--,--,,3,3,0,,jason-blackford
Tom,Blackledge,,--,205 lbs.,--,Orthodox,10,7,0,,tom-blackledge
Sherrard,Blackledge,The Thriller,"5' 11""",155 lbs.,"75.0""",Orthodox,5,1,0,,sherrard-blackledge
Da'Mon,Blackshear,The Monster,"5' 10""",135 lbs.,"72.0""",Switch,12,5,1,,da'mon-blackshear
Erin,Blanchfield,Cold Blooded,"5' 4""",125 lbs.,"66.0""",Orthodox,11,1,0,,erin-blanchfield
Maximo,Blanco,Maxi,"5' 8""",145 lbs.,"71.0""",Orthodox,12,8,1,,maximo-blanco
David,Blanco,,"5' 7""",145 lbs.,--,,2,0,0,,david-blanco
Curtis,Blaydes,Razor,"6' 4""",265 lbs.,"80.0""",Orthodox,17,3,0,,curtis-blaydes
Tereza,Bleda,,"5' 9""",125 lbs.,"71.0""",Orthodox,6,1,0,,tereza-bleda
Arlene,Blencowe,Angerfist,"5' 5""",145 lbs.,--,,9,6,0,,arlene-blencowe
Byron,Bloodworth,,"5' 8""",135 lbs.,--,Orthodox,6,3,0,,byron-bloodworth
Dashawn,Boatwright,"Buck, the 400-pound Silverback","6' 0""",205 lbs.,--,Orthodox,3,1,0,,dashawn-boatwright
Dan,Bobish,,"6' 2""",345 lbs.,--,Southpaw,17,9,0,,dan-bobish
Mark,Bocek,,"5' 8""",155 lbs.,"75.0""",Orthodox,12,5,0,,mark-bocek
Kyle,Bochniak,Killer B,"5' 7""",145 lbs.,"70.0""",Orthodox,8,5,0,,kyle-bochniak
James,Bochnovic,,"6' 4""",205 lbs.,"81.0""",Orthodox,8,3,0,,james-bochnovic
Jeremy,Boczulak,,--,--,--,,0,2,0,,jeremy-boczulak
Tim,Boetsch,The Barbarian,"6' 0""",185 lbs.,"74.0""",Orthodox,21,13,0,,tim-boetsch
Galore,Bofando,,"5' 11""",170 lbs.,"72.0""",Switch,5,3,0,,galore-bofando
Jay,Bogan,,--,145 lbs.,--,,6,6,0,,jay-bogan
Roman,Bogatov,,"5' 8""",155 lbs.,"73.0""",Orthodox,10,1,0,,roman-bogatov
Derek,Bohi,Marshmallow,"6' 4""",260 lbs.,--,,8,5,0,,derek-bohi
Jerry,Bohlander,,"5' 11""",199 lbs.,--,Orthodox,11,4,0,,jerry-bohlander
Mandy,Bohm,Monster,"5' 7""",125 lbs.,"71.0""",Orthodox,7,2,0,,mandy-bohm
Kotetsu,Boku,,"5' 9""",154 lbs.,--,Orthodox,25,11,2,,kotetsu-boku
Gaston,Bolanos,,--,135 lbs.,--,,6,3,0,,gaston-bolanos
Kyle,Bolt,,"6' 2""",185 lbs.,--,,8,4,0,,kyle-bolt
Denys,Bondar,Psycho,"5' 6""",125 lbs.,"69.0""",Orthodox,16,4,0,,denys-bondar
Luc,Bondole,,"6' 2""",205 lbs.,--,,5,2,2,,luc-bondole
Tony,Bonello,The Gun,"6' 2""",185 lbs.,--,,16,3,1,,tony-bonello
Gabriel,Bonfim,Marretinha,"6' 1""",170 lbs.,"72.0""",Orthodox,14,0,0,,gabriel-bonfim
Ismael,Bonfim,Marreta,"5' 8""",155 lbs.,"71.0""",Orthodox,19,3,0,,ismael-bonfim
Jesse,Bongfeldt,Water,"6' 0""",185 lbs.,--,Orthodox,16,5,1,,jesse-bongfeldt
Marcos,Bonilla,Murder Marx,"5' 10""",145 lbs.,--,,4,4,0,,marcos-bonilla
Stephan,Bonnar,The American Psycho,"6' 4""",205 lbs.,"79.0""",Orthodox,15,9,0,,stephan-bonnar
Rogerio,Bontorin,,"5' 5""",125 lbs.,"67.0""",Orthodox,16,4,0,,rogerio-bontorin
Ray,Borg,The Tazmexican Devil,"5' 4""",135 lbs.,"63.0""",Orthodox,13,5,0,,ray-borg
Igor,Borisov,,"6' 0""",235 lbs.,--,Orthodox,1,1,0,,igor-borisov
Calen,Born,,"5' 8""",170 lbs.,"72.0""",Switch,7,1,0,,calen-born
Caio,Borralho,The Natural,"5' 10""",185 lbs.,"75.0""",Southpaw,13,1,0,,caio-borralho
Zachary,Borrego,The Dragon,"6' 2""",185 lbs.,"78.0""",Switch,3,1,0,,zachary-borrego
Viacheslav,Borshchev,Slava Claus,"5' 11""",155 lbs.,"69.0""",Orthodox,6,3,0,,viacheslav-borshchev
Tanner,Boser,The Bulldozer,"6' 2""",205 lbs.,"75.0""",Orthodox,20,9,1,,tanner-boser
Steve,Bosse,The Boss,"5' 11""",205 lbs.,"72.0""",Orthodox,12,2,0,,steve-bosse
Marcus,Bossett,The Grasshopper,"6' 1""",215 lbs.,--,Orthodox,1,3,0,,marcus-bossett
Chris,Bostick,,--,--,--,,6,3,0,,chris-bostick
Poliana,Botelho,,"5' 8""",125 lbs.,"67.0""",Orthodox,8,5,0,,poliana-botelho
Francois,Botha,White Buffalo,"6' 2""",260 lbs.,--,Orthodox,0,1,0,,francois-botha
Gregory,Bouchelaghem,,"6' 2""",183 lbs.,--,Switch,5,4,0,,gregory-bouchelaghem
Roy,Boughton,Black Dynamite,"6' 0""",205 lbs.,--,,14,8,0,,roy-boughton
Rich,Bouphanouvong,,"5' 7""",170 lbs.,--,,1,4,0,,rich-bouphanouvong
Mike,Bourke,The Rhino,"6' 0""",275 lbs.,--,Orthodox,10,16,1,,mike-bourke
Jess,Bouscal,,--,155 lbs.,--,,3,2,0,,jess-bouscal
Tai,Bowden,,"5' 11""",230 lbs.,--,,1,1,0,,tai-bowden
Melton,Bowen,The Punisher,"6' 0""",225 lbs.,--,Orthodox,0,1,0,,melton-bowen
Kyron,Bowen,Bullseye,"6' 3""",185 lbs.,"73.0""",Orthodox,9,5,0,,kyron-bowen
Brian,Bowles,,"5' 7""",135 lbs.,"70.0""",Orthodox,10,3,0,,brian-bowles
Roger,Bowling,Relentless,"5' 9""",155 lbs.,"68.0""",Orthodox,12,6,0,,roger-bowling
Blake,Bowman,,"6' 2""",170 lbs.,--,,2,6,0,,blake-bowman
Ashe,Bowman,The Archer,"5' 9""",155 lbs.,--,,9,11,0,,ashe-bowman
Anvar,Boynazarov,The Uzbek,"5' 9""",145 lbs.,--,Orthodox,3,1,0,,anvar-boynazarov
Colley,Bradford,,"5' 7""",145 lbs.,--,,0,1,0,,colley-bradford
Kyle,Bradley,,"5' 9""",155 lbs.,"71.0""",Orthodox,19,12,0,,kyle-bradley
Paul,Bradley,The Gentleman,"5' 9""",170 lbs.,--,Orthodox,23,8,0,,paul-bradley
Sean,Brady,,"5' 10""",170 lbs.,"72.0""",Orthodox,15,1,0,,sean-brady
Ebenezer Fontes,Braga,Pitbull,"6' 0""",199 lbs.,--,Orthodox,13,7,2,,ebenezer fontes-braga
Ramiz,Brahimaj,,"5' 10""",170 lbs.,"72.0""",Orthodox,10,4,0,,ramiz-brahimaj
Joe,Brammer,The South Side Strangler,"5' 8""",155 lbs.,--,Orthodox,7,3,1,,joe-brammer
David,Branch,,"6' 1""",185 lbs.,"78.0""",Orthodox,22,6,0,,david-branch
Diego,Brandao,DB,"5' 7""",145 lbs.,"64.0""",Orthodox,22,11,0,,diego-brandao
Bruna,Brasil,,"5' 6""",115 lbs.,"65.0""",Orthodox,8,2,1,,bruna-brasil
Michael,Bravo,,--,155 lbs.,--,,7,4,0,,michael-bravo
Martin,Bravo,El Toro,"5' 8""",145 lbs.,"71.0""",Southpaw,11,3,0,,martin-bravo
Mike,Breeden,Money,"5' 10""",155 lbs.,"70.0""",Orthodox,10,5,0,,mike-breeden
Tom,Breese,,"6' 3""",185 lbs.,"73.0""",Southpaw,12,3,0,,tom-breese
Elves,Brener,,"5' 10""",155 lbs.,"72.0""",Orthodox,14,3,0,,elves-brener
Chris,Brennan,The Westside Strangler,"5' 8""",170 lbs.,--,Orthodox,21,13,1,,chris-brennan
Charlie,Brenneman,The Spaniard,"5' 10""",155 lbs.,"70.0""",Orthodox,19,8,0,,charlie-brenneman
Robert,Breslin,The Bullet,"5' 11""",155 lbs.,--,,3,9,0,,robert-breslin
Mack,Brewer,,--,205 lbs.,--,,0,1,0,,mack-brewer
Marcos,Brigagao,Ironside,"6' 3""",205 lbs.,"76.0""",Southpaw,11,1,0,,marcos-brigagao
Jason,Brilz,Hitman,"5' 11""",205 lbs.,"71.0""",Orthodox,22,6,1,,jason-brilz
Marcus,Brimage,The Bama Beast,"5' 4""",135 lbs.,"71.0""",Southpaw,7,7,0,,marcus-brimage
Aaron,Brink,,"6' 3""",205 lbs.,--,Orthodox,26,26,0,,aaron-brink
Henry,Briones,Bure,"5' 8""",135 lbs.,"69.0""",Orthodox,16,8,1,,henry-briones
Marcelo,Brito,Jungle Boy,"6' 1""",170 lbs.,--,Orthodox,13,8,0,,marcelo-brito
Joanderson,Brito,Tubarao,"5' 8""",145 lbs.,"72.0""",Orthodox,14,3,1,,joanderson-brito
Antwain,Britt,The Juggernaut,"6' 1""",205 lbs.,"77.0""",,11,6,0,,antwain-britt
Drew,Brokenshire,,--,--,--,,16,6,0,,drew-brokenshire
Mike,Bronzoulis,The Greek,"6' 0""",155 lbs.,--,,18,9,1,,mike-bronzoulis
Jonathan,Brookins,,"6' 0""",145 lbs.,"74.0""",Southpaw,16,10,0,,jonathan-brookins
Will,Brooks,Ill,"5' 10""",155 lbs.,"72.0""",Orthodox,18,4,0,,will-brooks
Jarred,Brooks,The Monkey God,"5' 3""",125 lbs.,"62.0""",Switch,13,2,0,,jarred-brooks
Rob,Broughton,The Bear,"6' 2""",265 lbs.,"74.0""",Orthodox,16,7,1,,rob-broughton
Lee,Brousseau,Manimal,"6' 1""",205 lbs.,--,,5,3,0,,lee-brousseau
Matt,Brown,The Immortal,"6' 0""",170 lbs.,"75.0""",Orthodox,25,19,0,,matt-brown
Mike,Brown,,"5' 6""",145 lbs.,"70.0""",Orthodox,26,9,0,,mike-brown
Dominic,Brown,,"5' 11""",190 lbs.,--,,16,23,0,,dominic-brown
Todd,Brown,Bulldog,"5' 11""",205 lbs.,--,Orthodox,16,4,0,,todd-brown
Terrell,Brown,,--,185 lbs.,--,,3,1,0,,terrell-brown
Chris,Brown,,--,170 lbs.,--,,10,1,0,,chris-brown
Frederick,Brown,,"6' 0""",235 lbs.,--,,3,2,0,,frederick-brown
Randy,Brown,Rudeboy,"6' 3""",170 lbs.,"78.0""",Orthodox,16,5,0,,randy-brown
Damien,Brown,Beatdown,"5' 10""",155 lbs.,"68.0""",Orthodox,17,12,0,,damien-brown
TJ,Brown,Downtown,"5' 9""",145 lbs.,"72.0""",Switch,17,9,0,,tj-brown
Humberto,Brown Morrison,,"5' 10""",145 lbs.,--,,4,6,0,,humberto-brown morrison
Travis,Browne,Hapa,"6' 6""",255 lbs.,"79.0""",Orthodox,18,7,1,,travis-browne
Junie,Browning,,"5' 9""",155 lbs.,--,Orthodox,5,6,0,,junie-browning
Jules,Bruchez,,"6' 0""",205 lbs.,--,Southpaw,1,2,0,,jules-bruchez
Justin,Bruckmann,Loaf,"5' 9""",170 lbs.,--,Orthodox,7,3,0,,justin-bruckmann
Cody,Brundage,,"6' 0""",185 lbs.,"72.0""",Orthodox,8,3,0,,cody-brundage
Steve,Bruno,Hollywood,"5' 10""",170 lbs.,--,Orthodox,15,6,0,,steve-bruno
Fernando,Bruno,Acougueiro,"5' 6""",145 lbs.,--,,15,4,0,,fernando-bruno
Derek,Brunson,The One,"6' 1""",185 lbs.,"77.0""",Southpaw,23,9,0,,derek-brunson
Josh,Bryant,The Beast,"5' 10""",185 lbs.,--,Orthodox,15,4,0,,josh-bryant
Dennis,Bryant,The Beard,"6' 0""",205 lbs.,--,Orthodox,5,2,0,,dennis-bryant
Lukasz,Brzeski,The Bull,"6' 4""",236 lbs.,"78.0""",Orthodox,8,3,1,,lukasz-brzeski
Justin,Buchholz,,"6' 0""",155 lbs.,"73.0""",Orthodox,15,10,0,,justin-buchholz
Zak,Bucia,,"5' 10""",170 lbs.,--,,17,8,0,,zak-bucia
Courtney,Buck,,"5' 10""",135 lbs.,--,Orthodox,12,11,0,,courtney-buck
Joaquin,Buckley,New Mansa,"5' 10""",185 lbs.,"76.0""",Southpaw,15,6,0,,joaquin-buckley
Martin,Buday,Badys,"6' 4""",265 lbs.,"77.0""",Orthodox,11,1,0,,martin-buday
Julia,Budd,,"5' 7""",145 lbs.,"67.0""",,10,2,0,,julia-budd
Mike,Budnik,,"5' 9""",145 lbs.,"68.0""",Orthodox,13,4,0,,mike-budnik
Francisco,Bueno,,"5' 9""",225 lbs.,--,Orthodox,5,2,0,,francisco-bueno
Mayra,Bueno Silva,Sheetara,"5' 6""",135 lbs.,"66.0""",Orthodox,10,2,1,,mayra-bueno silva
Paul,Buentello,The Headhunter,"6' 2""",245 lbs.,"77.0""",Orthodox,35,17,0,,paul-buentello
Modestas,Bukauskas,The Baltic Gladiator,"6' 3""",205 lbs.,"78.0""",Switch,14,5,0,,modestas-bukauskas
Lee Kwan,Bum,,"6' 2""",286 lbs.,--,Orthodox,0,1,0,,lee kwan-bum
Josh,Bumgarner,,"6' 1""",170 lbs.,--,,6,4,0,,josh-bumgarner
Shawn,Bunch,Bunch the Great,"5' 5""",135 lbs.,--,,7,3,0,,shawn-bunch
Shane,Burgos,Hurricane,"5' 11""",145 lbs.,"75.0""",Orthodox,15,3,0,,shane-burgos
Joshua,Burkman,The People's Warrior,"5' 10""",170 lbs.,"72.0""",Orthodox,28,16,0,,joshua-burkman
Justin,Burlinson,,"6' 1""",170 lbs.,"74.0""",Switch,6,1,0,,justin-burlinson
Mads,Burnell,,"5' 8""",145 lbs.,"69.0""",Orthodox,9,3,0,,mads-burnell
Mikey,Burnett,The Eastside Assassin,"5' 6""",170 lbs.,--,Orthodox,5,2,0,,mikey-burnett
Kevin,Burns,The Fire,"5' 10""",170 lbs.,"74.0""",Orthodox,12,7,0,,kevin-burns
Gilbert,Burns,Durinho,"5' 10""",170 lbs.,"71.0""",Orthodox,21,5,0,,gilbert-burns
Josh,Burns,The Hammer,"6' 1""",244 lbs.,--,,8,10,0,,josh-burns
Herbert,Burns,The Blaze,"5' 9""",145 lbs.,"73.0""",Orthodox,11,4,0,,herbert-burns
Derrick,Burnsed,,--,155 lbs.,--,,1,0,3,,derrick-burnsed
Nah-Shon,Burrell,The Rock n Rolla,"5' 11""",170 lbs.,--,Orthodox,15,7,0,,nah-shon-burrell
Martin,Buschkamp,,"5' 9""",145 lbs.,--,Orthodox,9,0,0,,martin-buschkamp
George,Bush,,"6' 1""",205 lbs.,--,,5,2,0,,george-bush
Bubba,Bush,The Fightin' Texas Aggie,"6' 0""",185 lbs.,--,Orthodox,8,3,0,,bubba-bush
Dakota,Bush,,"5' 10""",155 lbs.,"73.0""",Orthodox,8,4,0,,dakota-bush
Murilo,Bustamante,,"6' 2""",183 lbs.,--,Orthodox,15,8,1,,murilo-bustamante
Nick,Bustamante,,"5' 9""",170 lbs.,--,,5,3,0,,nick-bustamante
Eduardo,Bustillos,,"5' 8""",135 lbs.,--,,5,3,0,,eduardo-bustillos
Jason,Butcher,,"6' 3""",185 lbs.,--,,10,2,0,,jason-butcher
Todd,Butler,,"6' 1""",200 lbs.,--,Southpaw,1,4,0,,todd-butler
Goldman,Butler,,--,--,--,,1,4,0,,goldman-butler
Ian,Butler,,"5' 8""",155 lbs.,--,,3,3,0,,ian-butler
Raphael,Butler,The Silencer,"6' 3""",261 lbs.,--,,9,2,1,,raphael-butler
JP,Buys,Young Savage,"5' 5""",125 lbs.,"67.0""",Orthodox,9,5,0,,jp-buys
Dennis,Buzukja,The Great,"5' 9""",145 lbs.,"70.0""",Switch,8,2,0,,dennis-buzukja
Charles,Byrd,Kid Dynamite,"5' 10""",185 lbs.,"73.0""",Orthodox,10,7,0,,charles-byrd
Steve,Byrnes,The Sergeant,"6' 0""",170 lbs.,--,Orthodox,6,1,0,,steve-byrnes
Michael,Byrnes,,"5' 11""",155 lbs.,--,,5,3,0,,michael-byrnes
Yan,Cabral,,"5' 11""",155 lbs.,"73.0""",Orthodox,13,3,0,,yan-cabral
Alvin,Cacdac,,"5' 6""",125 lbs.,--,Orthodox,18,13,0,,alvin-cacdac
Alex,Caceres,Bruce Leeroy,"5' 10""",145 lbs.,"73.0""",Southpaw,20,13,0,,alex-caceres
Vince,Cachero,The Anomaly,"5' 6""",145 lbs.,"68.0""",Orthodox,7,4,0,,vince-cachero
Priscila,Cachoeira,Zombie Girl,"5' 7""",125 lbs.,"65.0""",Orthodox,12,4,0,,priscila-cachoeira
Travis,Calanoc,The Dark Knight,"5' 8""",145 lbs.,--,Orthodox,5,1,0,,travis-calanoc
Ricky,Calatayud,,"5' 9""",125 lbs.,--,,16,2,0,,ricky-calatayud
Darrion,Caldwell,The Wolf,"5' 10""",135 lbs.,--,,10,1,0,,darrion-caldwell
Taylor,Callens,,"5' 10""",155 lbs.,--,,6,0,0,,taylor-callens
Cynthia,Calvillo,,"5' 4""",125 lbs.,"64.0""",Orthodox,9,5,1,,cynthia-calvillo
Joe,Camacho,,"5' 9""",155 lbs.,--,Orthodox,13,19,3,,joe-camacho
Frank,Camacho,The Crank,"5' 10""",155 lbs.,"73.0""",Orthodox,22,10,0,,frank-camacho
Fabricio,Camoes,Morango,"5' 10""",155 lbs.,"71.0""",Orthodox,14,9,1,,fabricio-camoes
Chris,Camozzi,,"6' 2""",185 lbs.,"75.0""",Orthodox,24,13,0,,chris-camozzi
Brian,Camozzi,Mantis,"6' 2""",170 lbs.,"78.0""",Orthodox,7,5,0,,brian-camozzi
Ricky,Camp,2 Slick,"5' 7""",135 lbs.,--,,11,4,0,,ricky-camp
Mike,Campbell,The Beast,"5' 9""",155 lbs.,--,Southpaw,13,4,0,,mike-campbell
Thomas,Campbell,,--,--,--,,3,3,0,,thomas-campbell
Shane,Campbell,Shaolin,"6' 0""",155 lbs.,"71.0""",Orthodox,14,6,0,,shane-campbell
Charlie,Campbell,The Cannibal,"6' 0""",155 lbs.,--,Orthodox,6,2,0,,charlie-campbell
John,Campetella,,"5' 9""",235 lbs.,--,Orthodox,0,1,0,,john-campetella
Wagner,Campos,Galeto,"5' 6""",145 lbs.,--,Southpaw,12,10,0,,wagner-campos
Derek,Campos,The Stallion,"5' 9""",155 lbs.,--,,19,6,0,,derek-campos
Will,Campuzano,,"5' 9""",125 lbs.,"70.0""",Orthodox,14,6,0,,will-campuzano
Aleksa,Camur,,"6' 1""",205 lbs.,"74.0""",Orthodox,6,2,0,,aleksa-camur
Chico,Camus,The King,"5' 6""",125 lbs.,"66.0""",Orthodox,17,7,0,,chico-camus
Asbel,Cancio,,"5' 10""",225 lbs.,--,,0,1,0,,asbel-cancio
Carlos,Candelario,The Cannon,"5' 8""",125 lbs.,"68.0""",Southpaw,8,3,0,,carlos-candelario
Ronaldo,Candido,Pacman,"5' 6""",125 lbs.,--,Southpaw,6,0,0,,ronaldo-candido
Luiz,Cane,Banha,"6' 2""",185 lbs.,"77.0""",Southpaw,17,7,0,,luiz-cane
Guido,Cannetti,Ninja,"5' 6""",135 lbs.,"68.0""",Southpaw,10,8,0,,guido-cannetti
Jared,Cannonier,The Killa Gorilla,"5' 11""",185 lbs.,"77.0""",Switch,16,6,0,,jared-cannonier
Jose,Canseco,,"6' 4""",240 lbs.,--,Orthodox,0,1,0,,jose-canseco
Cody,Canterbury,,"5' 8""",155 lbs.,--,,1,10,0,,cody-canterbury
Bo,Cantrell,Redrum,"6' 2""",235 lbs.,--,Orthodox,10,10,0,,bo-cantrell
Steve,Cantwell,The Robot,"6' 2""",185 lbs.,"75.0""",Orthodox,7,6,0,,steve-cantwell
Paul,Capaldo,,"5' 7""",135 lbs.,--,,6,0,0,,paul-capaldo
Phil,Caracappa,The Hitman,"5' 8""",135 lbs.,"70.0""",Orthodox,6,1,0,,phil-caracappa
Frank,Caracci,,--,--,--,,2,3,0,,frank-caracci
Gina,Carano,Conviction,"5' 8""",145 lbs.,--,Orthodox,7,1,0,,gina-carano
Dos,Caras Jr.,,"6' 4""",225 lbs.,--,Orthodox,9,5,0,,dos-caras jr.
Bryan,Caraway,Kid Lightning,"5' 8""",135 lbs.,"68.0""",Orthodox,21,9,0,,bryan-caraway
Remo,Cardarelli,,--,135 lbs.,--,,7,5,0,,remo-cardarelli
Phil,Cardella,,"5' 11""",155 lbs.,--,,8,5,0,,phil-cardella
Edgar,Cardenas,Kitty Katt,--,145 lbs.,--,,4,1,0,,edgar-cardenas
Chris,Cariaso,Kamikaze,"5' 3""",125 lbs.,"64.0""",Southpaw,17,8,0,,chris-cariaso
Ronald,Carillo,,--,125 lbs.,--,,4,2,0,,ronald-carillo
Rafael,Carino,,"6' 8""",245 lbs.,--,Orthodox,2,1,1,,rafael-carino
Don,Carlo-Clauss,,--,170 lbs.,--,,10,7,0,,don-carlo-clauss
Antonio,Carlos Junior,Cara de Sapato,"6' 2""",185 lbs.,"79.0""",Orthodox,11,5,0,,antonio-carlos junior
Spike,Carlyle,Alpha Ginger,"5' 8""",145 lbs.,"71.0""",Switch,9,3,0,,spike-carlyle
Francis,Carmont,Limitless,"6' 3""",205 lbs.,"78.0""",Orthodox,25,12,0,,francis-carmont
Liz,Carmouche,Girlrilla,"5' 6""",125 lbs.,"66.0""",Orthodox,13,7,0,,liz-carmouche
Roan,Carneiro,Jucao,"5' 11""",170 lbs.,"76.0""",Orthodox,21,11,0,,roan-carneiro
Ariane,Carnelossi,Sorriso,"5' 2""",115 lbs.,"61.0""",Orthodox,14,3,0,,ariane-carnelossi
