First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,
Masio,Fullen,Lobo,"5' 10""",145 lbs.,"70.0""",Orthodox,11,7,0,,masio-fullen
Travis,Fulton,The Ironman,"6' 0""",240 lbs.,--,Orthodox,253,53,10,,travis-fulton
Sam,Fulton,,--,--,--,,0,2,0,,sam-fulton
Masakatsu,Funaki,,"6' 0""",185 lbs.,--,Southpaw,39,13,2,,masakatsu-funaki
Ricardo,Funch,Golden Boy,"5' 10""",170 lbs.,"74.0""",Southpaw,9,6,0,,ricardo-funch
Katsuaki,Furuki,,"6' 0""",168 lbs.,--,,1,1,0,,katsuaki-furuki
James,Gabert,,--,178 lbs.,--,,6,4,0,,james-gabert
Gustavo,Gabriel,,"5' 6""",125 lbs.,--,Orthodox,13,1,0,,gustavo-gabriel
Claudia,Gadelha,Claudinha,"5' 4""",115 lbs.,"63.0""",Orthodox,18,5,0,,claudia-gadelha
Alavutdin,Gadjiev,,"6' 2""",185 lbs.,--,Orthodox,18,13,1,,alavutdin-gadjiev
Justin,Gaethje,The Highlight,"5' 11""",155 lbs.,"70.0""",Orthodox,24,4,0,,justin-gaethje
Sheila,Gaff,The German Tank,"5' 5""",135 lbs.,--,Orthodox,9,7,0,,sheila-gaff
Muin,Gafurov,Tajik,"5' 7""",135 lbs.,"68.0""",Southpaw,17,4,0,,muin-gafurov
Mitch,Gagnon,,"5' 5""",135 lbs.,"65.0""",Southpaw,12,5,0,,mitch-gagnon
Brandon,Gaines,,"6' 3""",185 lbs.,--,,5,21,0,,brandon-gaines
Travis,Galbraith,The Gladiator,"6' 0""",170 lbs.,--,Orthodox,18,7,0,,travis-galbraith
Dave,Galera,Scarecrow,"5' 11""",135 lbs.,--,Orthodox,5,1,0,,dave-galera
Zelg,Galesic,Benkei,"6' 2""",185 lbs.,--,Orthodox,11,9,0,,zelg-galesic
Mickey,Gall,,"6' 2""",170 lbs.,"74.0""",Switch,7,5,0,,mickey-gall
Daniel,Gallemore,Big Kansas,"6' 5""",265 lbs.,--,,7,3,0,,daniel-gallemore
