fighter_name,Height,Weight,Reach,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,fighting_style
Ricco Rodriguez,"6' 4""",265 lbs.,,Orthodox,19-Aug-77,1.85,51%,1.15,61%,2.3,39%,40%,1,
Yair Rodriguez,"5' 11""",145 lbs.,"71""",Orthodox,06-Oct-92,4.33,45%,3.13,57%,0.9,29%,63%,0.9,
Marina Rodriguez,"5' 6""",115 lbs.,"65""",Orthodox,29-Apr-87,4.86,50%,3.16,53%,0.36,33%,59%,0.2,
Daniel Rodriguez,"6' 1""",170 lbs.,"74""",Southpaw,31-Dec-86,7.68,46%,6.12,57%,1.34,62%,90%,0.3,
Mike Rodriguez,"6' 4""",205 lbs.,"82""",Southpaw,28-Nov-88,4.61,59%,3.39,40%,0,0%,41%,0,
Ray Rodriguez,"5' 7""",135 lbs.,"70""",Orthodox,10-Dec-87,0.9,27%,3.89,40%,1.42,50%,44%,0,
Luis Rodriguez,"5' 6""",125 lbs.,"65""",Orthodox,07-May-99,1.27,37%,3.2,54%,2,50%,100%,2,
Drako Rodriguez,"5' 8""",135 lbs.,"69""",Orthodox,16-Jun-96,2.57,35%,2.57,26%,2.75,100%,0%,2.8,
Victor Rodriguez,"5' 5""",135 lbs.,"67""",Switch,05-Sep-92,2.17,46%,6.14,50%,0,0%,0%,0,
Nick Roehrick,"6' 2""",205 lbs.,,Orthodox,06-Jul-87,2.31,17%,6.92,44%,0,0%,0%,0,
Brett Rogers,"6' 5""",265 lbs.,"81""",Orthodox,17-Feb-81,3.17,44%,3.2,46%,0,0%,58%,0,
Max Rohskopf,"6' 1""",155 lbs.,"71""",Orthodox,27-Sep-94,1.7,31%,5.8,42%,3,33%,0%,1.5,
Brian Rogers,"5' 11""",185 lbs.,,,15-Feb-84,4.79,38%,5.76,58%,1.22,50%,100%,0.6,
Marcos Rogerio de Lima,"6' 1""",253 lbs.,"75""",Orthodox,25-Jun-85,3.78,54%,2.53,54%,0.71,60%,43%,0.7,
Pete Rogers Jr.,"6' 0""",145 lbs.,,,,0.66,15%,1.71,65%,0,0%,0%,0,
Marcelo Rojo,"5' 8""",145 lbs.,"71""",Orthodox,02-Jul-88,5.1,36%,7.3,51%,1.03,50%,100%,0,
Shane Roller,"5' 10""",155 lbs.,"72""",Orthodox,14-Jul-79,2.04,34%,2.65,60%,2.46,33%,42%,1.9,
Tim Roman,"6' 1""",170 lbs.,,,08-Jun-85,0.6,40%,2.4,40%,1,100%,16%,0,
Jared Rollins,"5' 9""",170 lbs.,,Orthodox,26-Jan-77,3.33,57%,2.41,39%,2.5,50%,50%,1.2,
Alexandr Romanov,"6' 2""",262 lbs.,"75""",Southpaw,11-Dec-90,4.31,39%,1.76,43%,6.35,66%,0%,3.2,
Ricardo Romero,"6' 0""",205 lbs.,"76""",Orthodox,15-Apr-78,2.17,55%,4.77,46%,1.63,10%,100%,3.3,
Yoel Romero,"6' 0""",185 lbs.,"73""",Southpaw,30-Apr-77,3.44,49%,3.05,60%,1.57,30%,78%,0,
Anthony Romero,"5' 11""",155 lbs.,"70""",Orthodox,25-Feb-97,5.87,52%,4,65%,2,22%,100%,0,
Mara Romero Borella,"5' 6""",125 lbs.,"69""",Orthodox,03-Jun-86,2.54,37%,2.48,71%,1.83,44%,66%,0.2,
Rong Zhu,,135 lbs.,,,07-Mar-00,0,0%,0,0%,0,0%,0%,0,
Jesse Ronson,"5' 10""",170 lbs.,"70""",Southpaw,24-Dec-85,3.54,49%,2.99,59%,0.63,40%,61%,0.6,
Joao Roque,"5' 6""",155 lbs.,,Orthodox,22-Jul-71,0,0%,0,0%,0,0%,0%,0,
George Roop,"6' 1""",135 lbs.,"72""",Orthodox,10-Nov-81,3.43,34%,2.47,60%,1.05,57%,59%,0.1,
Aaron Rosa,"6' 4""",205 lbs.,"77""",Orthodox,28-May-83,4.03,47%,4.41,45%,0.36,33%,85%,0.4,
Charles Rosa,"5' 9""",145 lbs.,"69""",Switch,24-Aug-86,3.11,37%,3.78,48%,1.76,32%,40%,1,
Karol Rosa,"5' 5""",135 lbs.,"67""",Orthodox,30-Dec-94,7.73,52%,5.51,48%,2,60%,90%,0,
Hilarie Rose,"5' 3""",115 lbs.,"63""",Orthodox,11-Nov-92,2.33,33%,6.13,44%,0,0%,100%,0,
Jacob Rosales,"5' 11""",155 lbs.,,Orthodox,28-Jul-95,6.76,49%,12,41%,0,0%,50%,1.3,
Jake Rosholt,"6' 1""",185 lbs.,,Orthodox,09-Feb-82,2.68,53%,2.33,49%,6.51,68%,0%,1.8,
Jared Rosholt,"6' 2""",265 lbs.,"75""",Orthodox,04-Aug-86,2.08,46%,1.52,59%,1.83,41%,66%,0.1,
Zach Rosol,,243 lbs.,,,,0,0%,14.21,25%,0,0%,0%,0,
Nick Rossborough,"6' 5""",205 lbs.,,,18-Nov-81,2.8,35%,4.33,35%,0,0%,100%,0,
Kevin Rosier,"6' 4""",275 lbs.,,Orthodox,,0,0%,0,0%,0,0%,0%,0,
Kristian Rothaermel,"6' 0""",205 lbs.,,Open Stance,31-Jan-72,0.75,50%,2.49,41%,0,0%,0%,0,
Rick Roufus,"6' 0""",207 lbs.,,Southpaw,,0.53,33%,1.06,33%,0,0%,50%,0,
Ben Rothwell,"6' 4""",265 lbs.,"78""",Orthodox,17-Oct-81,3.55,41%,4.57,46%,0.63,33%,69%,0.3,
Khalil Rountree Jr.,"6' 1""",205 lbs.,"76""",Southpaw,26-Feb-90,3.06,38%,3.63,49%,0,0%,50%,0.2,
Ronda Rousey,"5' 7""",135 lbs.,"66""",Orthodox,01-Feb-87,4.17,52%,4.14,44%,6.26,68%,50%,4.8,
Ray Routh,"5' 8""",185 lbs.,,Orthodox,,0.54,21%,3.22,28%,2.69,33%,0%,0,
Roberta Rovel,"5' 8""",145 lbs.,,,,0.87,46%,3,26%,0,0%,100%,0,
Philip Rowe,"6' 3""",170 lbs.,"80""",Orthodox,18-Jul-90,4.99,60%,5.34,51%,1.19,33%,25%,0,
Kain Royer,,185 lbs.,,,,0,0%,1.63,14%,0,0%,0%,4.1,
Brad Royster,,135 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Brandon Royval,"5' 9""",125 lbs.,"68""",Southpaw,16-Aug-92,3.77,46%,2.88,47%,0.79,100%,53%,2.4,
Jairzinho Rozenstruik,"6' 4""",242 lbs.,"78""",Orthodox,17-Mar-88,3.14,48%,3.48,39%,0,0%,80%,0,
Marco Ruas,"6' 1""",210 lbs.,,Orthodox,23-Jan-61,0,0%,0,0%,0,0%,0%,0,
Rodrigo Ruas,"5' 10""",185 lbs.,,Orthodox,06-Oct-77,1.28,35%,7,41%,0,0%,0%,0,
Murilo Rua,"5' 11""",185 lbs.,,Orthodox,22-May-80,2.48,45%,1.85,53%,1.97,45%,37%,1.2,
Rodolfo Rubio Perez,"5' 5""",145 lbs.,,Orthodox,29-Jan-87,1.13,36%,1,62%,2,33%,33%,0,
Mauricio Rua,"6' 1""",205 lbs.,"76""",Orthodox,25-Nov-81,3.57,50%,2.71,54%,2.12,48%,47%,0.8,
Gabe Ruediger,"5' 10""",155 lbs.,,Orthodox,29-Aug-77,1.7,31%,5.16,41%,2.04,11%,28%,0,
Eddie Ruiz,"5' 7""",155 lbs.,,Orthodox,10-Jun-67,0.2,25%,1.4,47%,2,12%,0%,0,
Anthony Ruiz,"6' 2""",205 lbs.,,Orthodox,03-Nov-77,2.56,64%,1.67,28%,1.43,31%,21%,0,
Casey Ryan,,185 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Mike Russow,"6' 1""",255 lbs.,"73""",Orthodox,11-Sep-76,1.55,47%,2.9,59%,4.66,43%,0%,0.7,
Bas Rutten,"6' 1""",205 lbs.,,Orthodox,24-Feb-65,5.59,61%,2.06,79%,0,0%,0%,0,
Pete Sabala,,135 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Yusup Saadulaev,"5' 6""",135 lbs.,,,31-Mar-85,0.57,45%,0.96,66%,5.73,60%,0%,1,
Danny Sabatello,"5' 10""",135 lbs.,"71""",Orthodox,31-Mar-93,2.07,57%,0.2,25%,3,75%,100%,1,
Patrick Sabatini,"5' 8""",145 lbs.,"70""",Orthodox,09-Nov-90,0,0%,0,0%,0,0%,0%,0,
Amir Sadollah,"5' 10""",170 lbs.,"75""",Orthodox,27-Aug-80,4.71,46%,3.55,60%,0.57,27%,60%,0.3,
Saparbeg Safarov,"6' 1""",185 lbs.,"78""",Orthodox,14-Oct-86,4.03,48%,2.96,47%,2.52,41%,33%,0,
Frankie Saenz,"5' 6""",135 lbs.,"66""",Orthodox,12-Aug-80,3.94,47%,3.5,52%,1.74,31%,61%,0.1,
Jason Saggo,"5' 11""",155 lbs.,"71""",Orthodox,23-Nov-85,2.5,39%,2.94,52%,2.33,40%,23%,0,
Tarec Saffiedine,"5' 10""",170 lbs.,"70""",Switch,06-Sep-86,4.05,47%,3.06,62%,0.52,36%,84%,0.1,
Lukasz Sajewski,"5' 8""",155 lbs.,"71""",Orthodox,27-Nov-90,2.06,35%,3.88,57%,1.01,25%,66%,0,
Ovince Saint Preux,"6' 3""",205 lbs.,"80""",Southpaw,08-Apr-83,2.68,46%,3.03,45%,1.19,40%,66%,0.6,
Paul Ruiz,"5' 6""",135 lbs.,,,23-Jun-87,1.4,33%,1.4,75%,0,0%,100%,20.9,
Yukio Sakaguchi,"5' 9""",185 lbs.,,Orthodox,26-Jul-73,0.3,25%,2.4,50%,4.5,100%,0%,9,
Wataru Sakata,"5' 9""",195 lbs.,,Southpaw,11-Mar-73,1.11,61%,2.08,31%,0,0%,0%,0,
Augusto Sakai,"6' 3""",265 lbs.,"77""",Orthodox,09-May-91,5.32,48%,4.02,50%,0.15,50%,66%,0,
Gokhan Saki,"6' 0""",205 lbs.,"73""",Orthodox,19-Oct-83,7.09,58%,4.57,53%,0,0%,100%,0,
Alessio Sakara,"6' 0""",185 lbs.,"72""",Orthodox,02-Sep-81,3.96,47%,2.8,59%,2.18,78%,62%,0,
Ryuta Sakurai,"5' 7""",183 lbs.,,Orthodox,,1.8,48%,3.44,58%,0.52,100%,36%,1.6,
Kazushi Sakuraba,"6' 0""",185 lbs.,,Southpaw,14-Jul-69,1.26,41%,2.03,51%,1.26,31%,48%,1.7,
Justin Salas,"5' 8""",155 lbs.,"70""",Southpaw,13-Mar-82,3.42,43%,2.96,68%,2.43,20%,0%,0,
Hayato Sakurai,"5' 7""",168 lbs.,,Orthodox,24-Aug-75,2.45,49%,1.94,59%,1.87,69%,56%,0.3,
Luis Saldana,"5' 11""",145 lbs.,"73""",Orthodox,27-Jan-91,7.17,59%,1.21,78%,0,0%,0%,0,
Ivan Salaverry,"6' 0""",185 lbs.,,Orthodox,11-Jan-71,3.01,47%,1.19,76%,0.49,18%,36%,2.5,
John Salgado,"5' 10""",170 lbs.,,,,0.99,50%,1.86,40%,0,0%,50%,0,
Roman Salazar,"5' 7""",135 lbs.,,Orthodox,21-Feb-88,1.95,39%,2.89,57%,1.77,18%,50%,0,
Brandon Saling,"5' 10""",170 lbs.,,,28-Jan-86,2.88,40%,6.08,20%,0,0%,57%,0,
Muslim Salikhov,"5' 11""",170 lbs.,"70""",Orthodox,09-Jun-84,2.85,46%,2.29,67%,0.87,30%,80%,0,
Sean Salmon,"5' 10""",185 lbs.,,Southpaw,11-Sep-77,1.49,33%,2.03,65%,4.06,50%,0%,0,
Gabriel Salinas-Jones,"6' 1""",245 lbs.,,,20-Nov-84,0,0%,0,0%,0,0%,0%,0,
Boston Salmon,"5' 9""",135 lbs.,"69""",Southpaw,20-Nov-90,4.13,37%,7.75,59%,0,0%,100%,0,
Johnny Sampaio,"5' 8""",170 lbs.,,Orthodox,11-Sep-75,1.32,40%,2.64,50%,9.89,50%,0%,9.9,
John Salter,"6' 1""",185 lbs.,"74""",Southpaw,21-Mar-85,1.68,32%,1.68,68%,2.85,46%,66%,0.5,
Josh Samman,"6' 3""",185 lbs.,"79""",Orthodox,14-Mar-88,2.08,52%,2.47,34%,1.09,33%,33%,0.4,
Josh San Diego,"5' 10""",135 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Josh Sampo,"5' 4""",125 lbs.,"64""",Orthodox,24-Jul-84,1.99,36%,2.96,55%,1.06,33%,40%,2.1,
Eddie Sanchez,"6' 2""",230 lbs.,"74""",Orthodox,04-Nov-82,3.45,43%,3.3,43%,1.13,26%,42%,0,
Julian Sanchez,"6' 3""",300 lbs.,,Orthodox,,0,0%,0,0%,0,0%,0%,0,
Bobby Sanchez,"5' 7""",155 lbs.,,Orthodox,,0,0%,0,100%,0,0%,100%,0,
Donald Sanchez,"5' 10""",145 lbs.,,,18-Aug-84,0.58,50%,1.16,55%,0,0%,50%,0,
Diego Sanchez,"5' 10""",170 lbs.,"72""",Southpaw,31-Dec-81,2.69,37%,3.02,56%,1.51,24%,46%,0.8,
Joby Sanchez,"5' 6""",135 lbs.,"68""",Orthodox,24-Jun-91,3.22,36%,2.82,63%,0.95,71%,51%,0.4,
Emmanuel Sanchez,"5' 9""",145 lbs.,"71""",,11-Aug-90,4.45,35%,4.17,55%,0.25,6%,16%,0.5,
Jesse Sanders,"6' 0""",170 lbs.,,Orthodox,,0,0%,6.45,35%,0,0%,50%,0,
Erick Sanchez,"5' 10""",145 lbs.,,,04-Oct-90,0,0%,0,0%,0,0%,0%,0,
Andrew Sanchez,"6' 1""",185 lbs.,"74""",Orthodox,08-Apr-88,4.48,42%,5.05,51%,1.92,31%,100%,0,
Robert Sanchez,"5' 6""",125 lbs.,"66""",Orthodox,05-Mar-86,0.96,40%,1.78,46%,3.61,62%,50%,0.7,
Jerrod Sanders,"5' 8""",135 lbs.,"72""",Orthodox,01-Oct-79,0.88,64%,1.14,46%,2.2,33%,50%,1.6,
Cory Sandhagen,"5' 11""",135 lbs.,"70""",Switch,20-Apr-92,6.85,48%,3.89,59%,1.07,50%,30%,0.5,
Luke Sanders,"5' 6""",135 lbs.,"67""",Southpaw,12-Dec-85,6.21,51%,4.11,53%,0.31,20%,66%,0.3,
Hugo Sandoval,,135 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Joseph Sandoval,"5' 7""",135 lbs.,,Southpaw,11-May-86,1.82,42%,12.12,60%,0,0%,0%,0,
Hector Sandoval,"5' 2""",125 lbs.,"64""",Orthodox,19-Jul-86,3.31,52%,2.33,65%,3.49,25%,71%,1.4,
Raul Sandoval,,130 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Chris Sanford,"5' 11""",185 lbs.,,Orthodox,12-Mar-68,0.23,50%,3.22,17%,0,0%,0%,3.5,
Jonathan Santa Maria,"5' 9""",125 lbs.,,,,3.6,51%,2.53,74%,0,0%,80%,0,
Roldan Sangcha'an,"5' 4""",125 lbs.,,Orthodox,04-Dec-90,2.71,46%,2.15,51%,1.94,60%,68%,0,
Yuhi Sano,"5' 11""",243 lbs.,,Orthodox,02-Feb-65,0,0%,0,0%,0,0%,0%,0,
Duda Santana,"5' 7""",145 lbs.,"73""",Orthodox,10-Jan-96,6.01,39%,2.72,73%,6.44,60%,0%,0,
Sean Santella,"5' 5""",125 lbs.,,,25-Oct-84,0,0%,0,0%,0,0%,0%,0,
Will Santiago,"5' 7""",185 lbs.,,Orthodox,08-Feb-83,1.47,39%,5.53,56%,1,50%,100%,0,
Mike Santiago,"5' 10""",145 lbs.,"69""",Orthodox,28-Jul-89,3.44,49%,3.58,36%,2.66,50%,53%,1.1,
Shaheen Santana,"6' 1""",155 lbs.,"75""",Orthodox,04-Jun-91,0.82,42%,1.65,40%,0,0%,0%,2.8,
Jorge Santiago,"6' 1""",170 lbs.,"75""",Orthodox,09-Oct-80,1.69,35%,2.62,56%,0.58,30%,52%,0.8,
Richie Santiago,"5' 7""",135 lbs.,"67""",Southpaw,10-Oct-92,3.87,49%,4.87,42%,0,0%,25%,0,
Jose Santibanez,,155 lbs.,,,18-Jan-80,0,0%,0,0%,0,0%,0%,0,
Art Santore,"6' 2""",185 lbs.,,,26-Oct-72,1.4,12%,7.31,52%,0,0%,100%,0,
Adriano Santos,,,,,,0,0%,0,0%,0,0%,0%,0,
Luis Santos,"6' 1""",170 lbs.,,Southpaw,,4.4,57%,4,64%,0,0%,0%,0,
Iliarde Santos,"5' 5""",125 lbs.,"67""",Orthodox,25-Sep-80,3,30%,6.1,57%,1.66,23%,83%,0,
Paulo Santos,,,,,,0,0%,0,0%,0,0%,0%,0,
Thiago Santos,"6' 2""",205 lbs.,"76""",Orthodox,07-Jan-84,4.27,48%,2.33,55%,0.7,38%,66%,0.1,
Evangelista Santos,"5' 10""",170 lbs.,"76""",Orthodox,12-Dec-77,3.94,36%,6.01,49%,0.78,100%,50%,0.4,
Leonardo Santos,"6' 0""",155 lbs.,"75""",Orthodox,05-Feb-80,2.65,44%,2.77,58%,1.07,29%,89%,0.3,
Bruno Santos,"5' 9""",185 lbs.,,Orthodox,17-Jul-87,1.18,46%,2.27,56%,3,37%,66%,0.3,
Andre Santos,"6' 0""",170 lbs.,,,,2.77,34%,4.17,41%,2.5,29%,75%,0,
Gleristone Santos,"5' 9""",145 lbs.,,,20-Aug-88,3.4,31%,4.4,64%,0,0%,75%,0,
Taila Santos,"5' 6""",125 lbs.,"68""",Orthodox,22-Jun-93,3.52,48%,2.22,59%,2,80%,85%,1,
Marilia Santos,"5' 4""",125 lbs.,,Orthodox,12-Dec-92,4.4,54%,4.07,53%,1,100%,66%,1,
Nick Sanzo,"5' 9""",190 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Bob Sapp,"6' 5""",350 lbs.,,Orthodox,22-Sep-74,3.19,55%,1.88,49%,0.58,100%,72%,0,
Diego Saraiva,"5' 6""",155 lbs.,,Orthodox,23-Apr-82,1.64,32%,3.58,62%,1.33,40%,0%,0.7,
Daniel Sarafian,"5' 9""",185 lbs.,"73""",Orthodox,21-Aug-82,2.23,46%,3.1,58%,0.36,7%,53%,0.7,
Harris Sarmiento,"5' 9""",155 lbs.,,Orthodox,09-Sep-83,0.84,25%,3.46,36%,2.36,60%,57%,0,
Alexander Sarnavskiy,"5' 11""",155 lbs.,,,17-Jan-89,1.43,66%,2.06,42%,0,0%,75%,0,
Yuki Sasaki,"6' 2""",185 lbs.,,Orthodox,12-Sep-76,1.09,43%,1.2,57%,0.43,100%,66%,0,
Kyosuke Sasaki,"5' 7""",183 lbs.,,Southpaw,,0.33,45%,0.93,46%,0,0%,0%,0,
Yuta Sasaki,"5' 10""",125 lbs.,"71""",Southpaw,07-Oct-89,2.16,41%,2.5,50%,3.03,43%,41%,1.2,
Paul Sass,"6' 0""",155 lbs.,"73""",Orthodox,04-Aug-88,0.53,26%,1.9,51%,0.53,16%,33%,7.4,
Masaaki Satake,"6' 1""",220 lbs.,,Orthodox,17-Aug-65,1.4,35%,3.76,41%,0,0%,58%,0,
Takenori Sato,"5' 10""",170 lbs.,,Southpaw,08-Jun-85,0.46,33%,12.92,9%,0,0%,0%,0,
Takashi Sato,"5' 10""",170 lbs.,"73""",Southpaw,09-Jun-90,3.16,37%,4.81,50%,0.53,50%,75%,0,
Tom Sauer,"6' 1""",263 lbs.,,,11-Nov-70,0,0%,0,0%,0,0%,0%,0,
Jeimeson Saudino,"5' 6""",135 lbs.,,,05-Mar-91,0.66,30%,0.82,84%,2.47,50%,0%,2.5,
Townsend Saunders,"5' 5""",170 lbs.,,Orthodox,,0,0%,0,0%,0,0%,0%,0,
Ben Saunders,"6' 2""",170 lbs.,"77""",Orthodox,13-Apr-83,3.23,50%,3.58,51%,0.2,40%,66%,1.3,
Chris Saunders,"5' 8""",155 lbs.,,,11-Mar-86,1.48,22%,2.96,75%,3.7,100%,0%,0,
Chad W. Saunders,"5' 10""",170 lbs.,,Orthodox,,0,0%,0,0%,0,0%,0%,0,
Lumumba Sayers,"6' 0""",185 lbs.,,,30-Jun-78,2.54,41%,2.37,48%,7.63,75%,0%,2.5,
Matt Sayles,"5' 7""",145 lbs.,"68""",Orthodox,21-Feb-94,5.44,42%,3.13,61%,0,0%,81%,0.4,
Brandon Sayles,"6' 5""",265 lbs.,,,23-Apr-81,0,0%,0,0%,0,0%,0%,0,
Mark Scanlon,"5' 9""",170 lbs.,,Orthodox,,2.2,35%,3.33,48%,3,75%,25%,2,
Eric Schafer,"6' 3""",185 lbs.,"76""",Orthodox,20-Sep-77,1.89,34%,3.38,56%,1.81,36%,50%,1.8,
Brendan Schaub,"6' 4""",245 lbs.,"78""",Orthodox,18-Mar-83,2.92,37%,2.22,57%,2.32,46%,72%,0.4,
Kerry Schall,"6' 2""",265 lbs.,,Orthodox,09-Aug-71,0.94,11%,4.84,63%,0,0%,0%,0,
Eric Schambari,"5' 11""",185 lbs.,,Orthodox,22-Apr-78,1.43,42%,1.07,54%,3,42%,0%,1,
Matheus Scheffel,"6' 2""",205 lbs.,,,11-Apr-92,0,0%,0,0%,0,0%,0%,0,
Antonio Schembri,"5' 9""",205 lbs.,,Orthodox,01-Jun-74,0.72,26%,2.12,55%,1.31,40%,0%,0.4,
Fabiano Scherner,"6' 3""",257 lbs.,,Orthodox,30-Jun-72,1.31,31%,3.2,38%,1.09,33%,40%,0,
Joe Schilling,"6' 3""",185 lbs.,,,,2.84,52%,2.64,48%,0,0%,44%,0,
Samy Schiavo,"5' 8""",155 lbs.,,Orthodox,24-Dec-75,1.68,34%,2.62,38%,0.94,50%,66%,0.9,
Semmy Schilt,"6' 10""",265 lbs.,,Orthodox,27-Oct-73,1.2,50%,1.31,53%,0,0%,47%,1.1,
Adam Schindler,"5' 8""",155 lbs.,,,19-May-83,0,0%,0,0%,0,0%,0%,0,
Daniel Schmitt,,185 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Colleen Schneider,,135 lbs.,,,,2.17,48%,2.5,50%,2.5,50%,60%,0,
Matt Schnell,"5' 8""",125 lbs.,"70""",Orthodox,15-Jan-90,4.2,36%,4.02,62%,0.48,33%,53%,1.2,
Darrill Schoonover,"6' 2""",220 lbs.,,Orthodox,18-Jul-85,1.2,33%,4.35,38%,0,0%,50%,1.1,
Alex Schoenauer,"6' 3""",185 lbs.,,Orthodox,05-May-76,1.22,40%,2.27,42%,0,0%,22%,4.9,
Bob Schrijber,"6' 0""",240 lbs.,,Orthodox,,0,0%,0,0%,0,0%,0%,0,
Nate Schroeder,"6' 1""",230 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Lacey Schuckman,"5' 3""",125 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Mark Schultz,"5' 9""",200 lbs.,,Orthodox,,0,0%,0,0%,0,0%,0%,0,
Brian Schwartz,"6' 3""",170 lbs.,,Orthodox,,1.27,44%,0.87,45%,0,0%,50%,1,
Eric Schwartz,,205 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Justin Scoggins,"5' 7""",125 lbs.,"66""",Southpaw,02-May-92,3.56,51%,2.16,55%,3.42,63%,82%,0.5,
Pat Schilling,"5' 8""",145 lbs.,,Orthodox,28-Aug-88,1.87,26%,8.24,52%,0,0%,0%,0,
Brad Scott,"6' 1""",170 lbs.,"76""",Orthodox,24-Jun-89,3.52,41%,4.31,57%,0.32,15%,63%,0.7,
Mike Seal,"6' 4""",185 lbs.,,Orthodox,,5.5,68%,3.33,50%,0,0%,33%,0,
Greg Scott,"5' 9""",145 lbs.,,,,3.9,55%,7.79,37%,11.69,100%,0%,0,
Kenneth Seegrist,"6' 0""",185 lbs.,,Orthodox,,3.21,66%,1.28,0%,0,0%,40%,14.4,
Rony Sefo,"5' 9""",225 lbs.,,Orthodox,,0,0%,0.43,0%,0,0%,0%,0,
Matt Secor,"6' 0""",170 lbs.,,,26-Sep-86,0.51,20%,0.81,50%,3.03,100%,0%,3,
Neil Seery,"5' 4""",125 lbs.,"64""",Orthodox,30-Aug-79,3.56,41%,3.79,58%,0.78,27%,53%,1.6,
Ray Sefo,"6' 0""",240 lbs.,,Orthodox,15-Feb-71,0.86,31%,1.71,72%,0,0%,66%,0,
Brendan Seguin,"6' 0""",185 lbs.,,,03-Jul-76,2.6,45%,0.6,84%,5,62%,100%,0,
Stefan Sekulic,"6' 0""",170 lbs.,"75""",Southpaw,12-Feb-92,1.47,37%,2.4,57%,1,20%,33%,0,
Pete Sell,"5' 11""",170 lbs.,"75""",Orthodox,05-Aug-82,2.6,42%,3.65,51%,0.91,21%,47%,0.9,
Andrei Semenov,"6' 0""",185 lbs.,,Orthodox,17-Jun-77,0.78,15%,2.44,60%,1.74,80%,55%,0.4,
Brandon Sene,"5' 11""",205 lbs.,,,21-May-81,0,0%,0,0%,0,0%,0%,0,
Matthew Semelsberger,"6' 1""",170 lbs.,"75""",Switch,23-Nov-92,7.93,50%,5.31,56%,1.97,100%,100%,1,
Kim In Seok,"5' 6""",145 lbs.,,Orthodox,,0.87,37%,5.19,60%,0,0%,0%,0,
Mackens Semerzier,"5' 9""",145 lbs.,"72""",Orthodox,03-Nov-80,2.91,45%,3.48,46%,2.14,50%,50%,2.1,
Ray Seraille,"6' 3""",246 lbs.,,,,5.29,27%,17.65,41%,0,0%,0%,0,
Alex Serdyukov,"6' 2""",170 lbs.,"74""",Orthodox,24-May-80,4.94,48%,3.1,46%,1.84,55%,67%,1.8,
Ivan Serati,"6' 0""",205 lbs.,,Orthodox,,0.86,26%,5.33,29%,0,0%,0%,0,
Nicholas Sergiacomi,,170 lbs.,,,,4.38,55%,3.94,59%,0,0%,0%,0,
Adrian Serrano,"5' 8""",170 lbs.,,,23-Dec-63,0,0%,0,0%,0,0%,0%,0,
Nick Serra,"5' 9""",170 lbs.,,Orthodox,27-Mar-78,0,0%,1.73,43%,1,10%,0%,2,
Fredy Serrano,"5' 3""",125 lbs.,"65""",Orthodox,22-Sep-79,1.58,26%,1.89,61%,2.84,25%,84%,0,
Carl Seumanutafa,"6' 1""",255 lbs.,,Orthodox,,0,0%,3.33,75%,0,0%,0%,0,
Matt Serra,"5' 6""",170 lbs.,"68""",Orthodox,02-Jun-74,1.98,39%,2.64,46%,2.05,20%,38%,0.9,
Scott Shaffer,"5' 7""",145 lbs.,,Orthodox,,2.4,67%,0.53,50%,0,0%,72%,3,
Dan Severn,"6' 2""",250 lbs.,,Southpaw,08-Jun-58,0,0%,0,0%,0,0%,0%,0,
Rosi Sexton,"5' 3""",135 lbs.,,Orthodox,16-Jul-77,3.31,39%,7.42,41%,0.75,10%,80%,0,
Leon Shahbazyan,"6' 4""",170 lbs.,"74""",Orthodox,18-Nov-95,6.33,52%,8.18,32%,1.46,50%,0%,0,
Edmen Shahbazyan,"6' 2""",185 lbs.,"74""",Orthodox,20-Nov-97,3.85,51%,4.31,49%,4.44,40%,58%,0.5,
Liliya Shakirova,"5' 4""",125 lbs.,"65""",Orthodox,24-Oct-91,2.7,30%,2.58,74%,0,0%,0%,0,
Kamal Shalorus,"5' 8""",155 lbs.,"68""",Orthodox,27-Aug-72,3.06,32%,2.99,70%,2.07,50%,80%,0,
Ken Shamrock,"6' 1""",205 lbs.,"72""",Orthodox,11-Feb-64,1.47,46%,4.3,39%,0.94,60%,44%,2.5,
Frank Shamrock,"5' 10""",185 lbs.,,Orthodox,08-Dec-72,4.75,53%,4.66,57%,0.35,50%,37%,1.1,
Eric Shelton,"5' 6""",125 lbs.,"68""",Orthodox,02-Feb-91,2.57,42%,1.88,63%,2.83,51%,46%,0.2,
Jason Sharp,,205 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Chase Sherman,"6' 4""",250 lbs.,"78""",Orthodox,16-Nov-89,6.02,45%,5.55,52%,0,0%,77%,0,
Sean Sherk,"5' 6""",155 lbs.,"67""",Orthodox,05-Aug-73,2.17,35%,2.71,55%,4.09,46%,56%,0.4,
